==21926== NVPROF is profiling process 21926, command: /home/webml/anaconda3/envs/carlaRL/bin/python ddpg_main.py
==21926== Profiling application: /home/webml/anaconda3/envs/carlaRL/bin/python ddpg_main.py
==21926== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
4.65875s  2.3360us             (46 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  GeForce RTX 208         1        14  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [877]
4.65877s  1.1840us                    -               -         -         -         -  1.5625KB  1.2585GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65879s  1.0880us                    -               -         -         -         -  1.5625KB  1.3696GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65882s  1.0560us                    -               -         -         -         -  1.5625KB  1.4111GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65942s  5.2160us                    -               -         -         -         -  807.81KB  147.70GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65945s  3.1680us                    -               -         -         -         -  807.81KB  243.18GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65948s  4.9600us             (46 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  GeForce RTX 208         1        14  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [884]
4.65950s  1.3120us                    -               -         -         -         -  1.1719KB  872.26MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65953s  1.0560us                    -               -         -         -         -  1.1719KB  1.0583GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65955s  1.0240us                    -               -         -         -         -  1.1719KB  1.0914GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65957s  3.6480us                    -               -         -         -         -  471.09KB  123.16GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65960s  2.2720us                    -               -         -         -         -  471.09KB  197.74GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65962s  3.2640us             (46 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  GeForce RTX 208         1        14  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [890]
4.65964s  1.1840us                    -               -         -         -         -      512B  412.40MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65967s  1.0560us                    -               -         -         -         -      512B  462.39MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65969s  1.0240us                    -               -         -         -         -      512B  476.84MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65971s  1.7280us                    -               -         -         -         -  150.00KB  82.784GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
